,service,food,anecdotes/miscellaneous,ambience,price
0,0.22383182,0.36181155,0.34358066,0.146561,0.132758
1,0.1750438,0.3530392,0.373468,0.15191078,-0.20328353
2,0.22996074,0.27579486,-0.417385,-0.25425947,-0.17528257
3,0.16886334,0.30686173,-0.4384474,-0.18102688,0.1919936
4,0.16448188,-0.30282283,0.48394433,0.2512654,0.15142754
5,-0.16802335,-0.43642044,0.38918743,-0.21067442,-0.16496155
6,0.16809866,-0.39525387,0.43304437,-0.18165874,0.18244536
7,0.23183088,-0.39291328,0.33630422,0.15185204,0.1565212
8,0.17127398,0.39046255,0.4518287,-0.18522793,-0.19629832
9,-0.18829995,-0.31968066,0.428224,-0.171366,0.20629802
10,0.16804409,0.21075518,-0.42025194,0.14645523,0.10640081
11,0.1196937,0.30627453,-0.44403616,0.18112028,-0.15285553
12,0.23278093,-0.37858784,-0.36345035,0.1790197,-0.21795309
13,-0.23615296,-0.40884697,-0.2578684,-0.21711606,-0.20943107
14,-0.26270342,-0.3329618,-0.32624477,-0.2303657,-0.19732793
15,-0.20001078,-0.37917557,0.39175695,0.15355998,0.12190046
16,0.24344231,-0.3570922,-0.06336601,-0.1502794,-0.16541061
17,0.19430865,0.42188114,0.46636906,0.1769201,-0.10965615
18,-0.21752472,-0.33694404,-0.33063602,0.15128912,-0.093808554
19,-0.18354227,-0.3052056,0.32966703,-0.14604008,0.124094814
20,0.23305213,-0.38382244,-0.3551416,0.2300682,-0.1433107
21,0.17610477,0.35983178,0.43072125,0.23900378,0.15614791
22,0.17569137,0.39273003,-0.4170979,-0.16472971,-0.10813451
23,0.20713963,-0.3497706,-0.096143596,-0.17274778,0.11322348
24,-0.24571007,0.3923526,-0.38032904,0.14750782,0.13027819
25,-0.24283698,0.2835698,0.41153845,-0.22589673,0.118730985
26,-0.16421597,-0.3666551,0.41032454,-0.15782475,0.14414729
27,0.21157648,0.301268,-0.3609004,-0.2227224,0.12636238
28,0.2481911,-0.39690533,0.466502,0.20486759,-0.18454273
29,-0.16684654,0.39183363,0.42690527,-0.21390915,0.09001639
30,-0.1670787,-0.4348658,-0.41435674,-0.18075134,0.15439428
31,-0.1813435,0.37775695,-0.31826964,0.14974621,0.104375064
32,-0.22727114,-0.3288964,0.44950292,-0.18464553,0.10673453
33,0.24098511,0.38674068,-0.45320445,0.19097698,0.11379639
34,-0.19033201,-0.10180972,0.17238025,0.2059352,0.100306
35,0.22580647,-0.39475045,0.43133456,0.1913276,0.11815187
36,-0.20413609,0.3179147,-0.38590693,0.24700926,0.12744975
37,0.21041009,-0.28434142,-0.48484012,0.20198356,-0.10942445
38,-0.16732699,0.25212216,-0.3763089,-0.17846069,-0.0994699
39,-0.2669317,0.3544607,0.14125736,-0.22883065,0.1748964
40,0.24075785,-0.30025467,-0.38678104,-0.15516037,-0.12765671
41,-0.17815742,-0.28718868,-0.3079338,0.20418166,-0.10122654
42,0.25565463,-0.37790608,-0.41269478,-0.13442421,-0.09670518
43,0.20248233,0.41898862,0.37132663,-0.15636729,-0.12654407
44,-0.1854689,-0.32982257,-0.39255565,0.15000409,-0.13970464
45,-0.19652784,-0.4138041,-0.36334687,0.24400271,-0.15707704
46,0.16678795,-0.36422724,0.38828322,-0.14647575,-0.16797495
47,0.17718998,0.35262987,-0.43433958,0.20795411,-0.13599786
48,0.1751065,-0.3141552,-0.42209554,0.1906292,-0.09972983
49,0.2775726,0.37041268,-0.43414438,0.14862064,0.11837394
50,-0.20895837,0.3071928,0.3402005,0.22364184,0.09619408
51,0.2555154,0.32938883,-0.37177315,-0.1087357,0.14563347
52,-0.2569563,0.3475947,-0.02422683,-0.15829666,0.1572624
53,0.20208384,0.26328343,0.4794186,-0.24690744,0.13555089
54,0.18528068,-0.32450265,0.4069732,0.15398508,0.15799342
55,0.15283221,0.2737011,-0.4344905,-0.25971082,0.18055268
56,-0.21251947,0.42632875,0.17281137,0.18811506,0.1191159
57,-0.19224821,0.371946,-0.4373452,-0.17728683,-0.19625807
58,-0.18872942,0.41042912,0.34488618,0.23814876,0.16501969
59,-0.17267965,-0.4113349,0.3370874,-0.23263341,-0.056259558
60,0.25664055,-0.29871878,0.058452807,0.14794677,-0.13343951
61,-0.17918716,-0.1445616,-0.3917704,-0.16130231,0.13436933
62,-0.20006843,0.3457619,-0.40963876,-0.23282306,-0.1073877
63,-0.1927424,-0.33761555,-0.40235633,-0.1976514,-0.14696662
64,-0.23811504,0.33599082,-0.21845612,-0.23110126,0.15622088
65,-0.2600402,0.31777018,-0.44349506,0.19927451,0.10236381
66,0.17027006,-0.3390358,0.3479286,0.16557926,0.101718284
67,0.168384,-0.35581782,0.3861879,-0.15115587,-0.11440405
68,0.16088948,0.3274352,-0.43324926,-0.15133145,-0.17949405
69,-0.16789752,-0.33929232,-0.44311965,-0.24394153,-0.18857086
70,0.20785956,-0.4208284,0.51169634,0.13331419,-0.1020753
71,-0.24562478,0.35750228,0.44212902,-0.14445312,-0.19252792
72,-0.28235078,0.37918776,-0.39663112,0.15860504,0.15318088
73,0.23746827,0.30861598,0.45976368,0.18410237,-0.104511455
74,-0.22556412,0.34577954,0.019022943,0.1922478,-0.11010252
75,-0.16912082,0.40889362,0.38246152,0.15969138,0.10187027
76,-0.27205887,-0.23679712,0.08095399,0.1675103,-0.101274475
77,-0.14709218,0.40190434,0.051850546,-0.1605562,-0.10788001
78,-0.19442524,-0.4085312,-0.3009916,0.1488542,0.17211321
79,-0.20955557,0.33780727,0.049975738,0.25655663,-0.14259814
80,0.23314925,0.33534542,-0.40612453,0.13582306,-0.10725782
81,-0.1760353,0.34183857,0.426615,-0.19846658,0.17800152
82,-0.24206424,-0.3018783,0.33381194,-0.19457738,-0.21370289
83,-0.19382872,-0.40225503,0.43840423,0.23261969,-0.11593053
84,0.22232054,0.36775863,0.48387295,0.15989082,0.114489555
85,0.20891406,0.3618191,0.42503056,0.20401578,0.1679349
86,0.16694233,-0.35468444,0.47326893,-0.23054996,-0.1829146
87,-0.22208202,-0.36187544,-0.3857676,0.21158601,0.055445507
88,0.23546506,0.31705892,-0.42829064,0.15187976,-0.16916902
89,0.15990607,-0.33134666,-0.43168017,-0.25476477,0.2112798
90,-0.20136417,0.40900424,0.41760302,-0.21241137,0.12857747
91,0.16568597,-0.3687884,-0.27317113,0.22730418,-0.18346731
92,-0.18695413,-0.3709291,-0.4033735,0.17641723,0.14491296
93,0.27434984,0.3368473,-0.44652998,0.1792293,0.09561508
94,-0.2404712,-0.4262483,-0.41068742,0.15042047,0.12040129
